"Region","Full name","Area RGI 6.0","Area RGI 7.0","Diff. Area (%)","Area overlap","Area removed from RGI6","Area added in RGI7","Area removed from RGI 6.0 (%)","Area added in RGI 7.0 (%)"
"01","Alaska",86725,86708,0.0,86627,98,81,0.1,0.1
"02","Western Canada and USA",14524,14521,0.0,14521,3,0,0.0,0.0
"03","Arctic Canada North",105111,105370,0.2,102891,2220,2479,2.1,2.4
"04","Arctic Canada South",40888,40538,-0.9,39927,961,611,2.4,1.5
"05","Greenland Periphery",89717,90482,0.9,89546,171,936,0.2,1.0
"06","Iceland",11060,11060,0.0,11060,0,0,0.0,0.0
"07","Svalbard and Jan Mayen",33959,33959,0.0,33938,21,21,0.1,0.1
"08","Scandinavia",2949,2948,0.0,2899,50,49,1.7,1.7
"09","Russian Arctic",51592,51595,0.0,51591,1,4,0.0,0.0
"10","North Asia",2410,2643,9.6,2114,296,529,12.3,20.0
"11","Central Europe",2092,2124,1.5,2081,11,43,0.5,2.0
"12","Caucasus and Middle East",1307,1407,7.6,970,337,437,25.8,31.1
"13","Central Asia",49303,50344,2.1,46126,3177,4218,6.4,8.4
"14","South Asia West",33568,33075,-1.5,30849,2719,2226,8.1,6.7
"15","South Asia East",14734,16049,8.9,13433,1301,2616,8.8,16.3
"16","Low Latitudes",2341,1929,-17.6,1802,539,127,23.0,6.6
"17","Southern Andes",29429,27674,-6.0,25995,3434,1679,11.7,6.1
"18","New Zealand",1162,886,-23.7,827,335,59,28.8,6.7
"19","Subantarctic and Antarctic Islands",132867,133432,0.4,128955,3912,4477,2.9,3.4
"20","Antarctic Mainland",0,0,0.0,0,0,0,0.0,0.0
"Global","",705739,706744,0.1,686151,19588,20593,2.8,2.9
